"source_serial","registration_number","brand_name","generic_name","strength","dosage_form","pack_size","shelf_life","manufacturer","manufacturer_country","marketing_authorization_holder","local_technical_representative","registration_date","expiry_date","regulatory_status","source_name","source_url"
"1","RWANDA-FDA24/HM/0809/0118","ATOP 250/100","Atovaquone and Proguanil hydrochloride Tablets 250mg/100mg","—","Tablet","—","36","Hetero Drugs Limited (Unit-I)","India","Hetero Labs Limited","BION PHARMA GROUP (BPG) Ltd","2026-06-19","2031-06-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"2","RWANDA-FDA24/HM/0183/0116","BUPICAINE HEAVY","Bupivacaine Hydrochloride USP eq. to Anhydrous Bupivacaine Hydrochloride 5.0 mg and Dextrose Anhydrous USP-NF 80.0 mg","—","STERILE SOLUTION FOR INJECTION","—","24","M/s. Tyche Industries Limited","India","THEMIS MEDICARE LIMITED","WESSEX PHARMACEUTICALS (RWANDA) Ltd","2026-06-19","2031-06-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"3","RWANDA-FDA24/HM/0882/0115","","—","—","Gelatin Capsules","—","24","Metrochem API Private Limited","India","BEKRA PHARMA UK LTD","UBIPHARM-RWANDA LTD","2026-06-19","2031-06-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"4","RWANDA-FDA25/HM/0428/0117","Diazepam Injection BP 5mg/ml","DIAZEPAM INJECTION","—","Solution for Injection.","—","24","FLOW CHEM PHARMA PVT LTD","India","Ciron Drugs And Pharmaceuticals Private Limited","RENE PHARMACY (R) LTD","2026-06-19","2031-06-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"5","RWANDA-FDA24/HM/0863/0119","Dolutegravir, Lamivudine and Tenofovir Disoproxil Fumarate Tablets 50 mg / 300 mg / 300 mg","Dolutegravir (as sodium), Lamivudine and Tenofovir Disoproxil Fumarate","—","Film-coated tablets,","—","36","LUPIN MANUFACTURING SOLUTIONS LIMITED","India","Lupin Limited","AIVEEN (R) LTD","2026-06-19","2031-06-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"6","RWANDA-FDA24/HM/0755/0114","AKURIXA 10","DAPAGLIFLOZIN PROPANEDIOL MONOHYDRATE","—","Film Coated Tablets","—","24","Morepen Laboratories Limited","India","UNOSOURCE PHARMA LIMITED","AIVEEN (R) LTD","2026-06-11","2031-06-10","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"7","RWANDA-FDA25/HM/0045/0113","Phylline","Aminophylline BP","—","Solution for Injection.","—","24","Aarti Pharmalabs Limited","India","SWISS PARENTERALS LTD.","PHARMACEUTICAL AND MEDICAL SUPPLIES SOCIETY (PMSS) Ltd","2026-06-11","2031-06-10","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"8","RWANDA-FDA25/HM/0294/0105","BDA AMLOSIVE 5","Amlodipine Besylate USP","—","Un coated Tablets","—","24","CENTURY PHARMACEUTICAL LIMITED","India","BDA Healthcare Pvt Ltd","DEPOT PHARMACY YEGO Limited","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"9","RWANDA-FDA24/HM/0073/0108","Betadine Vaginal Pessaries","Povidone Iodine USP","—","VAGINAL TABLET","—","36","ISP Chemicals Inc.","UNITED STATES OF AMERICA","Modi-Mundipharma Private Limited","Surgipharm Rwanda Ltd.","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"10","RWANDA-FDA24/HM/0495/0104","DAPAONE 10","DAPAGLIFLOZIN","—","Film Coated Tablets","—","24","","India","MSN Laboratories Private Limited","ABACUS PHARMA (A) Ltd","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"11","RWANDA-FDA25/HM/0581/0106","DERMOCIN","Mupirocin Ointment USP","—","Ointment","—","24","Concord Biotech Limited","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"12","RWANDA-FDA24/HM/0229/0111","Irbesartan/Hydrochlorothiazide Impact 150 mg/12,5 mg","Irbesartan and Hydrochlorothiazide","—","Film Coated Tablets","—","36","Sanofi Chimie","France","Sanofi-Aventis south africa (pty) ltd","KIPHARMA Ltd","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"13","RWANDA-FDA25/HM/0328/0103","LASTMOL SYRUP","Salbutamol Sulfate BP","—","Syrup (oral solution)","—","36","Supriya Lifescience Ltd.","India","Laboratory & Allied Ltd","DEPOT PHARMACEUTIQUE LE MEDICAL","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"14","RWANDA-FDA25/HM/0730/0107","PREGALIN","PREGABALIN USP","—","Hard Gelatin Capsules","—","24","CTX Lifesciences Pvt. Ltd.","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"15","RWANDA-FDA24/HM/0625/0112","RL","Sodium Lactate; Sodium Chloride; Potassium Chloride; and Calcium Chloride","—","Solution for infusion.","—","24","NANDU CHEMICALS PVT LTD","India","Alfa Pharmaceuticals Limited","AIVEEN (R) LTD","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"16","RWANDA-FDA25/HM/0028/0109","VELTOIN","Phenytoin Sodium","—","Solution For Injection","—","24","VELLINTON HEALTHCARE LTD","India","VELLINTON HEALTHCARE","DROGA PHARMA (RWANDA) Ltd","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"17","RWANDA-FDA24/HM/0547/0100","AMLOTAB 10","Amlodipine Besylate tablets USP 10mg","—","ORAL TABLET","—","36","Claroid Pharmaceutical Pvt. Limited","India","Taha healthcare Co Ltd","Taha healthcare Co Ltd","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"18","RWANDA-FDA24/HM/1029/0094","Amoxicillin and Clavulanic acid 625mg","—","—","Film-Coated Tablets","—","24","Centrient Pharmaceuticals India Private Limited","India","Imperial Medical Solutions FZE","Surgipharm Rwanda Ltd.","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"19","RWANDA-FDA25/HM/0624/0095","Coartem Baby Dispersible Tablet","Artemether 2.5 mg and Lumefantrine 30 mg","—","Dispersible tablet","—","24","KPC Pharmaceuticals","China","Novartis Pharma AG","SURGIPHARM (RWANDA) LTD","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"20","RWANDA-FDA24/HM/0546/0099","D-ABSORB","Desloratadine Oral Solution 0.5 mg/ml","—","Oral solution","—","24","Sun Pharmaceutical Ltd","India","S KANT HEALTHCARE LTD","ABACUS PHARMA (A) Ltd","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"21","RWANDA-FDA26/HM/0195/0096","KEPPROLIN","—","—","Oral solution","—","36","LUPIN MANUFACTURING SOLUTIONS LIMITED, DABHASA","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"22","RWANDA-FDA26/HM/0221/0097","LEVOZIN 5","Levocetirizine Dihydrochloride USP","—","Film Coated Tablet","—","36","M/s.Metrochem API Pvt Ltd","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"23","RWANDA-FDA25/HM/0034/0102","Maxflow-D Capsule 0.4/0.5mg","TAMSULOSIN HYDROCHLORIDE, DUTASTERIDE","—","Hard Gelatin Capsules","—","24","Lee Pharma Limited","India","CCL Pharmaceuticals (Pvt.) Ltd.","Depot Pharmaceutique Le Medical","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"24","RWANDA-FDA24/HM/1092/0093","SITALIN-100","SITAGLIPTIN USP","—","Film-Coated Tablets","—","36","BAJAJ HEALTHCARE LTD","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"25","RWANDA-FDA24/HM/0068/0101","Trofentyl, 2 ml","Fentanyl Citrate Injection USP 50 mcg/ml","—","STERILE SOLUTION FOR INJECTION","—","24","Pioneer Agro Industries","India","Troikaa Pharmaceuticals Ltd.","ABACUS PHARMA (A) Ltd","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"26","RWANDA-FDA24/HM/0942/0092","Unibet Cream","Betamethasone 1%w/w","—","Topical cream","—","36","UNIVERSAL CORPORATION LIMITED//KENYA","Kenya","UNIVERSAL CORPORATION LIMITED - KENYA","SUN ENTERPRISES LTD","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"27","RWANDA-FDA26/HM/0202/0098","VOMISTAT-8","Ondansetron Hydrochloride USP","—","Film Coated Tablets","—","36","ANUGRAHA CHEMICALS","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-23","2031-05-22","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"28","RWANDA-FDA24/HM/0753/0090","AKURIXA 5","DAPAGLIFLOZIN PROPANEDIOL MONOHYDRATE","—","Film Coated Tablets","—","24","Morepen Laboratories Limited","India","UNOSOURCE PHARMA LIMITED","AIVEEN (R) LTD","2026-05-19","2031-05-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"29","RWANDA-FDA23/HM/0506/0089","Betasol Lotion","Clobetasol Propionate USP","—","Lotion","—","36","Shalina Laboratories Pvt.Ltd.","India","SHALINA HEALTHCARE DMCC","ABACUS PHARMA (A) Ltd","2026-05-19","2031-05-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"30","RWANDA-FDA24/HM/0097/0091","Ramipril Impact 5 mg","RAMIPRIL","—","Film-Coated Tablet","—","36","EUROAPI Germany GmbH","Germany","Sanofi-Aventis south africa (pty) ltd","KIPHARMA Ltd","2026-05-19","2031-05-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"31","RWANDA-FDA24/HM/0369/0084","DICLOKANT HC GEL","DICLOFENAC DIETHYLAMINE, LINSEED OIL, MENTHOL & METHYL SALICYLATE GEL","—","TOPICAL GEL","—","24","Amoli Organics Private Limited","India","S KANT HEALTHCARE LTD","ABACUS PHARMA (A) Ltd","2026-05-17","2031-05-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"32","RWANDA-FDA23/HM/0546/0088","FERASIRO 125 DT","Deferasirox","—","ORAL DESINTEGRATING TABLETS","—","36","MSN Labs Private Limited","India","MSN Laboratories Private Limited","ABACUS PHARMA (A) Ltd","2026-05-17","2031-05-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"33","RWANDA-FDA24/HM/0019/0086","FERASIRO 250 DT","Deferasirox","—","Film Coated Tablet","—","36","MSN Labs Private Limited","India","MSN Laboratories Private Limited","ABACUS PHARMA (A) Ltd","2026-05-17","2031-05-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"34","RWANDA-FDA24/HM/0029/0087","FERASIRO 500 DT","Deferasirox","—","ORAL DISINTEGRATING TABLETS","—","36","MSN Labs Private Limited","India","MSN Laboratories Private Limited","ABACUS PHARMA (A) Ltd","2026-05-17","2031-05-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"35","RWANDA-FDA24/HM/0137/0085","Scotxone-1g","Ceftriaxone sodium USP","—","DRY POWDER OF INJECTION","—","36","Covalent Laboratories Private Limited","India","M/S SCOTT-EDIL ADVANCE RESEARCH LABORATORIES & EDUCATION LIMITED","SUN ENTERPRISE Ltd","2026-05-17","2031-05-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"36","RWANDA-FDA23/HM/0181/0073","ALKA Syrup","—","—","LIQUID FOR ORAL ADMINISTRATION","—","36","Gulkas Pharma Pvt. Ltd.","India","Aura Lifecare Pvt. Ltd.","SUN ENTERPRISES LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"37","RWANDA-FDA23/HM/0177/0080","ALLSAFE-125 DS","Cephalexin USP 125 mg/5 ml","—","DRY POWDER FOR ORAL SUSPENSION","—","36","Lincoln Pharmaceuticals Limited","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"38","RWANDA-FDA25/HM/0372/0082","Axaban-Denk 2.5 mg","Apixaban 2.5 mg","—","Film-coated tablets,","—","36","Combino Pharm (Malta) Ltd","Malta","DENK PHARMA GmbH & Co. KG","Herily - Agence de Marketing Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"39","RWANDA-FDA25/HM/0273/0069","Bavencio 20 mg/ml","—","—","Solution for infusion.","—","36","Merck Serono S.A., Vevey","Switzerland","Merck (Pty) Ltd","Surgipharm Rwanda Ltd.","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"40","RWANDA-FDA25/HM/0278/0049","CANDID LOTION","CLOTRIMAZOLE","—","Lotion","—","24","Amoli Organics Private Limited","India","Glenmark Pharmaceuticals Ltd","WESSEX PHARMACEUTICALS (RWANDA) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"41","RWANDA-FDA23/HM/0182/0083","CEFARIX 500","CEPHALEXIN","—","ORAL HARD GELATIN CAPSULES","—","36","LINCOLN PHARMACEUTICALS LIMITED","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"42","RWANDA-FDA25/HM/0143/0060","Cefim 200","CEFIXIME 200MG CAPSULES","—","Hard Gelatin Capsules","—","24","Covalent Laboratories Private Limited","India","Oman Pharmaceutical Products Co LLC","ESCORTS PHARMACEUTICALS (RWANDA) Limited","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"43","RWANDA-FDA25/HM/0229/0076","CINAMET-400","CIMETIDINE","—","Tablet","—","36","Shijiangzhuang Polee Pharmaceutical Co., LTD.","China","Farmasino Co., Ltd.","ABACUS PHARMA (A) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"44","RWANDA-FDA23/HM/0380/0055","Davir cream","Aciclovir","—","Cream","—","36","DAWA LIMITED","Kenya","DAWA LIMITED","SUN ENTERPRISE Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"45","RWANDA-FDA24/HM/0212/0056","DISFOR 500MG TABLETS","METHOCARBAMOL ORAL TABLET","—","ORAL TABLET","—","24","M/s. Granules India Limited","India","FAES FARMA, S.A.","UBIPHARM-RWANDA LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"46","RWANDA-FDA24/HM/1050/0052","Eczemus 0.03% Ointment","Tacrolimus","—","Ointment","—","36","concord biotech ltd","India","Brookes Pharma PVT LTD","DEPOT PHARMACEUTIQUE LE MEDICAL","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"47","RWANDA-FDA24/HM/0071/0064","EPIBALIN 150","PREGABALIN USP","—","Capsules","—","36","MSN LABORATORIES PRIVATE LIMITED","India","MSN Laboratories Private Limited","SUN ENTERPRISES LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"48","RWANDA-FDA25/HM/0042/0074","Euthyrox","Levothyroxine sodium","—","Tablet","—","36","Merck Healthcare KGA","Germany","Merck (Pty) Ltd","Surgipharm Rwanda Ltd.","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"49","RWANDA-FDA24/HM/0943/0063","FENIFIB 267","Pirfenidone","—","Film-coated tablets,","—","36","","India","MSN Laboratories Private Limited","SUN ENTERPRISES LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"50","RWANDA-FDA24/HM/0629/0079","Glucose Intravenous Infusion BP 10%","Glucose Intravenous Infusion BP 10% w/v","—","Solution for infusion.","—","24","Tirupati Starch and Chemical Limited","India","Alfa Pharmaceuticals Limited","AIVEEN (R) LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"51","RWANDA-FDA24/HM/0579/0057","GOAB 5","SOLIFENACIN SUCCINATE","—","Tablet","—","24","HETERO DRUGS LIMITED","India","Hetero Labs Limited","BION PHARMA GROUP (BPG) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"52","RWANDA-FDA24/HM/0350/0054","Gvia-M tablet","Sitagliptin/ Metformin HCl","—","ORAL TABLET","—","36","Shenzhen Haibin Pharmaceutical Co., Ltd","China","Genix Pharma (private) Ltd","ETS CONTINENTAL LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"53","RWANDA-FDA25/HM/0166/0071","Hepatitis B Vaccine (rDNA) (Paediatric)","10 mcg of purified Hepatitis B surface Antigen (Produced in Hansenula polymorpha yeast)","—","Injection","—","36","Serum Institute of India Pvt. Ltd","India","Serum Institute of India Pvt. Ltd.","SUN ENTERPRISES LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"54","RWANDA-FDA25/HM/0244/0062","Hexasiil","Diphtheria 30IU, Tetanus 40IU, Pertussis 4IU, Hepatitis B 15mcg, Polio type 1, 2, 3 (40 DU, 8 DU, 32 DU), Haemophilus influ b 10mcg, Conj. V 19-33mcg","—","Suspension of injection","—","24","SERUM INSTITUTE OF INDIA PVT. LTD","—","Serum Institute of India Pvt. Ltd.","SUN ENTERPRISES LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"55","RWANDA-FDA25/HM/0576/0053","HISTALIN-16","—","—","Uncoated tablet","—","36","Ami Lifescience Pvt. Ltd.","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"56","RWANDA-FDA25/HM/0575/0051","HISTALIN-8","Betahistine Dihydrochloride BP","—","Suspension of injection","—","36","Ami Lifescience Pvt. Ltd.","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"57","RWANDA-FDA25/HM/0429/0061","Irinotecan HCl AqVida 20 mg/ml","IRINOTECAN","—","Concentrate for solution for infusion","—","48","Laurus Labs Limited","India","AqVida GmbH","ONCOPHARM RWANDA LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"58","RWANDA-FDA25/HM/0054/0078","ISOSWISS","ISOFLURANE USP","—","INHALATION ANAESTHETIC","—","36","Shandong New Time Pharmaceutical Co., Ltd.","China","SWISS PARENTERALS LTD.","PHARMACEUTICAL AND MEDICAL SUPPLIES SOCIETY (PMSS) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"59","RWANDA-FDA24/HM/0443/0070","KEYTRUDA","PEMBROLIZUMAB","—","Concentrate for solution for infusion","—","24","BOEHRINGER INGELHEIM PHARMA GmbH & Co. KG.","Germany","Merck Sharp & Dohme (MSD)","MULTIPHAR UBIPHARM-RWANDA Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"60","RWANDA-FDA24/HM/0550/0065","LDNIL 20","ROSUVASTATIN","—","Film Coated Tablet","—","36","MSN LABORATORIES LIMITED","India","MSN Laboratories Private Limited","SUN ENTERPRISES LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"61","RWANDA-FDA23/HM/0469/0072","Movicol Liquid","Polyethylene glycol, Sodium chloride, Sodium bicarbonate and Potassium chloride","—","Oral solution","—","24","Clariant Produkte (Deutschland) GmbH","Germany","Win-Medicare Private Limited","SURGIPHARM (RWANDA) LTD-VET","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"62","RWANDA-FDA25/HM/0596/0059","MYCOFIL","—","—","Film Coated Tablet","—","36","Concord Biotech Limited","India","Lincoln Pharmaceuticals Limited","ABACUS PHARMA (A) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"63","RWANDA-FDA24/HM/1055/0050","Myfortic 180 mg","MYCOPHENOLATE SODIUM","—","GASTRO-RESISTANT TABLETS","—","36","SANDOZ GmbH","Austria","Novartis","Surgipharm Rwanda Ltd.","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"64","RWANDA-FDA24/HM/1005/0067","Myfortic 360 mg gastro-resistant tablets","Each gastro-resistant tablet contains 360 mg mycophenolic acid (MPA)","—","GASTRO-RESISTANT TABLETS","—","36","SANDOZ GmbH","Austria","Novartis","SURGIPHARM (RWANDA) LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"65","RWANDA-FDA25/HM/0053/0077","SEVO-SWISS","Sevoflurane USP","—","INHALATION ANAESTHETIC","—","36","Shandong New Time Pharmaceutical Co., Ltd","China","SWISS PARENTERALS LTD.","PHARMACEUTICAL AND MEDICAL SUPPLIES SOCIETY (PMSS) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"66","RWANDA-FDA25/HM/0327/0066","SINAREST LINCTUS","—","—","Syrup","—","36","Wockhardt Limited","India","CENTAUR PHARMACEUTICALS PVT LTD","WESSEX PHARMACEUTICALS (RWANDA) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"67","RWANDA-FDA24/HM/0630/0081","SODIUM CHLORIDE & GLUCOSE","SODIUM CHLORIDE & GLUCOSE 0.9% W/V, 5% W/V","—","Solution for infusion.","—","24","NANDU CHEMICALS PVT LTD","India","Alfa Pharmaceuticals Limited","AIVEEN (R) LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"68","RWANDA-FDA24/HM/0670/0058","TOTYLEM","—","—","Film-coated tablets,","—","36","Dr. Paul Lohmann GmbH & Co. KGaA","Germany","laboratoire innotech international","DEPOT PHARMACEUTIQUE LE MEDICAL","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"69","RWANDA-FDA25/HM/0491/0068","TRANIX Injection","TRANEXAMIC ACID INJ","—","INJETION","—","24","Shilpa Pharma Lifesciences Limited","India","Kilitch Drugs (India) Ltd","SUN ENTERPRISES LTD","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"70","RWANDA-FDA25/HM/0029/0075","ZEMAN SX","","—","Soft Capsules","—","24","Interhealth Nutracuticals Inc.","UNITED STATES OF AMERICA","MEGA LIFESCIENCES PUBLIC COMPANY LIMITED","ABACUS PHARMA (A) Ltd","2026-05-08","2031-05-07","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"71","RWANDA-FDA24/HM/1083/0045","BETACORT","Beclometasone Dipropionate","250MCG","Pressurised inhalation","—","36","AVIK PHARMACEUTICAL LTD.","India","GENERIX LABORATORIES PRIVATE LIMITED","AIVEEN (R) LTD","2026-03-18","2031-03-17","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
